City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,puerto natales,-51.7236,-72.4875,48.02,81,100,22.95,CL,1683152781
1,hermanus,-34.4187,19.2345,53.8,86,0,2.53,ZA,1683152781
2,adamstown,-25.066,-130.1015,76.48,67,27,9.46,PN,1683152781
3,grytviken,-54.2811,-36.5092,37.47,94,77,9.24,GS,1683152781
4,marsh harbour,26.5412,-77.0636,77.22,64,96,16.17,BS,1683152781
5,whitehorse,60.7161,-135.0538,47.17,33,75,15.01,CA,1683152770
6,waitangi,-43.9535,-176.5597,61.83,87,45,11.99,NZ,1683152782
7,emkhomazi,-30.2067,30.7978,68.13,84,91,3.49,ZA,1683152782
8,port-aux-francais,-49.35,70.2167,43.84,99,100,9.06,TF,1683152782
9,katsuura,35.1333,140.3,65.62,70,0,15.32,JP,1683152782
10,utrik,11.2278,169.8474,80.6,79,78,18.21,MH,1683152782
11,tiksi,71.6872,128.8694,30.24,84,32,25.12,RU,1683152782
12,noosa heads,-26.3833,153.15,67.1,51,1,5.7,AU,1683152783
13,selfoss,63.9331,-20.9971,40.05,64,95,10.27,IS,1683152783
14,vila franca do campo,37.7167,-25.4333,63.01,81,7,14.29,PT,1683152783
15,yellowknife,62.456,-114.3525,70.32,30,75,18.99,CA,1683152704
16,ploneour-lanvern,47.9,-4.2833,62.92,63,0,8.05,FR,1683152784
17,edinburgh of the seven seas,-37.0676,-12.3116,63.75,87,100,17.22,SH,1683152784
18,tura,25.5198,90.2201,67.37,92,61,3.94,IN,1683152784
19,cabo san lucas,22.8909,-109.9124,79.9,61,100,4.61,MX,1683152785
20,bejaia,36.7559,5.0843,60.6,63,100,3.33,DZ,1683152785
21,aasiaat,68.7098,-52.8699,31.48,98,100,8.93,GL,1683152785
22,wailua homesteads,22.0669,-159.378,79.59,71,0,13.8,US,1683152785
23,horta,38.5333,-28.6333,62.02,81,64,17.0,PT,1683152786
24,bukama,-9.2,25.85,65.14,77,3,1.92,CD,1683152786
25,irati,-25.4672,-50.6511,64.24,88,46,2.08,BR,1683152705
26,papatowai,-46.5619,169.4708,56.5,92,29,1.81,NZ,1683152786
27,tafuna,-14.3358,-170.72,76.95,94,100,12.66,AS,1683152787
28,malabar,-33.9667,151.25,58.75,55,0,19.57,AU,1683152787
29,faya-largeau,17.9257,19.1043,89.44,9,0,7.23,TD,1683152787
30,humberto de campos,-2.5983,-43.4611,77.11,92,100,5.61,BR,1683152787
31,happy valley-goose bay,53.3168,-60.3315,41.31,81,75,16.11,CA,1683152788
32,bilibino,68.0546,166.4372,17.33,87,100,3.56,RU,1683152788
33,kotido,2.9806,34.1331,69.33,76,92,7.27,UG,1683152788
34,khovd,48.0056,91.6419,30.34,56,100,2.75,MN,1683152789
35,mineiros,-17.5694,-52.5511,70.38,67,2,3.09,BR,1683152774
36,isafjordur,66.0755,-23.124000000000002,40.08,74,100,1.83,IS,1683152789
37,aswan,24.0934,32.907,83.53,14,5,6.67,EG,1683152790
38,puerto ayora,-0.7393,-90.3518,87.76,86,12,4.0,EC,1683152790
39,ilulissat,69.2167,-51.1,32.02,100,100,0.0,GL,1683152790
40,blackmans bay,-43.0167,147.3167,43.52,95,10,4.59,AU,1683152790
41,olinda,-8.0089,-34.8553,82.13,74,40,5.75,BR,1683152791
42,pacasmayo,-7.4006,-79.5714,76.86,74,19,14.43,PE,1683152791
43,port mathurin,-19.6833,63.4167,77.81,73,3,11.88,MU,1683152791
44,oltinko'l,40.8011,72.1634,65.05,26,2,5.75,UZ,1683152792
45,rongelap,11.1635,166.8941,81.23,76,100,17.87,MH,1683152792
46,babahoyo,-1.8167,-79.5167,81.64,91,96,1.63,EC,1683152792
47,yaren,-0.5472,166.916,82.74,76,100,8.7,NR,1683152793
48,eastham,41.8301,-69.9739,55.98,75,0,8.05,US,1683152633
49,nantucket,41.2835,-70.0995,55.99,76,0,9.22,US,1683152793
50,guisa,20.255,-76.5386,80.64,69,100,6.11,CU,1683152794
51,burang,30.25,81.1667,29.91,94,100,5.06,CN,1683152794
52,newark,40.7357,-74.1724,55.94,65,75,15.99,US,1683152681
